By Command
°C→°F	[degree]C[->][degree]F	C>F
M+×	M+[times]	M+*
M⁸	M[^-1]	M.INV
M×	M[times]	M*
m→fathom	m[->]fathom	m>fathom
m→feet	m[->]feet	m>feet
m→yards	m[->]yards	m>yards
nmi→km	nmi[->]km	nmi>km
Normlₚ	Norml[sub-p]	Norml-p
Normlᵤ	Norml[sub-u]	Norml-u
Norml⁸	Norml[^-1]	INV-Norml
nΣ	n[SIGMA]	nSUM
N→lbf	N[->]lbf	N>lbf
oz→g	oz[->]g	oz>g
Pa→atm	Pa[->]atm	Pa>atm
Pa→bar	Pa[->]bar	Pa>bar
Pa→inHg	Pa[->]inHg	Pa>inHg
Pa→mmHg	Pa[->]mmHg	Pa>mmHg
Pa→psi	Pa[->]psi	Pa>psi
Pa→torr	Pa[->]torr	Pa>torr
pc→km	pc[->]km	pc>km
©PERM	[cmplx]PERM	cPERM
Pₙ	P[sub-n]	Pn
Poissₚ	Poiss[sub-p]	Poiss-p
Poiss⁸	Poiss[^-1]	INV-Poiss
Poisλ	Pois[lambda]	Pois1
Poisλₚ	Pois[lambda][sub-p]	Pois1-p
Poisλ⁸	Pois[lambda][^-1]	INV-Pois1
pr.→dB	pr.[->]dB	pr.>dB
psi→Pa	psi[->]Pa	psi>Pa
PS(hp)→W	PS(hp)[->]W	PS(hp)>W
RAD→	RAD[->]	RAD>
rad→°	rad[->][degree]	RAD>DEG
rad→G	rad[->]G	RAD>GRAD
©RCL	[cmplx]RCL	cRCL
©RCL+	[cmplx]RCL+	cRCL+
©RCL-	[cmplx]RCL-	cRCL-
RCL×	RCL[times]	RCL*
©RCL×	[cmplx]RCL[times]	cRCL*
©RCL/	[cmplx]RCL/	cRCL/
RCL↑	RCL[^]	RCLMAX
RCL↓	RCL[v]	RCLMIN
©ROUND	[cmplx]ROUND	cROUND
R↑	R[^]	RUP
©R↑	[cmplx]R[^]	cRUP
R↓	R[v]	RDN
©R↓	[cmplx]R[v]	cRDN
SENDΣ	SEND[SIGMA]	SENDSUMS
©SIGN	[cmplx]SIGN	cSIGN
©SIN	[cmplx]SIN	cSIN
©SINC	[cmplx]SINC	cSINC
©SINH	[cmplx]SINH	cSINH
©STO	[cmplx]STO	cSTO
stone→kg	stone[->]kg	stone>kg
©STO+	[cmplx]STO+	cSTO+
©STO-	[cmplx]STO-	cSTO-
STO×	STO[times]	STO*
©STO×	[cmplx]STO[times]	cSTO*
©STO/	[cmplx]STO/	cSTO/
STO↑	STO[^]	STOMAX
STO↓	STO[v]	STOMIN
